Distrito,Cidade/Localidade,Local,Horário de recolha,Data limite para recolha,Artigos a doar,Contacto mais info (opcional),Entidade que organiza (opcional),Link para o anúncio (se houver),Outras notas,Cordenadas ou morada
Coimbra,Montemor-o-Velho,"Dias Transport
 ",24h,02-03-2022,"Medicamentos e Primeiros-Socorros
(Ibuprofeno, Paracetamol, Ligaduras, Fitas, Água Oxigenada, Pensos Rápidos)
Alimentos de longa validade
Artigos de Higiene
Roupas Quentes, Íntimas, Mantas e Cobertores devidamente lavados",967409745 / 936769063,Dias Transport,https://www.facebook.com/photo?fbid=133270622549483&set=pcb.133270922549453,,"Rua São Nicolau 884, Areal
3140-201 Montemor o Velho"
Coimbra,Coimbra,Empresa de Transportes TMP,,,,,Empresa de Transportes TMP,,,"Zona Industrial da Pedrulha, Lote 22
3050-183
Portugal"
Porto,Porto,Igreja Ortodoxa,,,,,,,,
Porto,Porto,Windoor Porto,,,,"934 316 283
",,,,"R. de Augusto Nogueira da Silva 1841, 4475-109"
Porto,Freamunde,Bombeiros de Freamunde,,,,255 879 115,,,," R. do Prof. Albino de Matos 40, 4590-356 Freamunde"
Porto,Rio Tinto,Junta de Freguesia de Rio Tinto,,,,22 489 0287,,,,"Largo do Mosteiro, 4435-346 Rio Tinto, Porto"
Porto,Amarante,Junta de Freguesia de Amarante,,,,255 432 250,,,,"R. Miguel Bombarda 29, 4600-089 Amarante"
Porto,Gondomar,Lacovale,,,,224 671 103,,,,"Rua das Mimosas, 271 4510-329 Gondomar"
Porto,Gondomar,Amizade – Associação de Imigrantes de Gondomar,,,, 22 488 40 77,,,,"Rua Padre Joaquim das Neves, n.º 945, 2.º esq/Tr, Baguim do Monte 4435-776 Gondomar"
Porto,Penafiel,"Rua do Bom Retiro, 43, loja B-8",,,,,,,,
Vila Real,Vila Real,Loja Solidária do IPV - edifício dos Serviços Centrais,,,,259 350 000,,,,
Vila Real,Salto,Junta de Fregusia de Salto,9-12h,,,253 659 318,,,,"R. 21 de Junho 129, 5470-430"
Vila Real,Montalegre,Concelho,,,,276 512 831 - 966 753 265,,https://www.facebook.com/sosucraniamontalegre/photos/a.103696782265883/103777818924446/,,"União de Freguesias de Montalegre e Padroso, Avenida D. Nuno Álvares Pereira, Apartado n.º 27
5470-203 Montalegre."
Vila Real,Ribeira da Pena,"Loja Solidária, Rua Adelino Amaro da Costa nº13, Salvador 4870-156",,,,,,,,
Braga,Braga,Portaria da Torrestir,,,,253680100,,,,
Braga,Braga,Associação de Paralesia Cerebral de Braga,9-17h,,,,,,,
Braga,Ferreiros,Arca dos Sonhos,,,,,,,,
Braga,Braga,Junta de Freguesia de São Vitor,,,,,,,,
Lisboa,Lisboa,Junta de Freguesia da Estrela,,,,,,,,
Lisboa,Lisboa,Junta de Freguesia da Misericórdia,9h-20h,,,,,,,
Lisboa,Lisboa,Junta de Freguesia de Arroios,9h30-17h30,,,,,,,
Lisboa,Lisboa,Junta de Freguesia de Alcântara,9h- 8h,,,,,,,
